img_search_addr,score,img_urls,url,name,addr,upso_nm
(주)거구상사(거구장),장소 없음,없음,없음,없음,서울특별시 마포구 백범로 23,(주)거구상사(거구장)
(주)어번그룹 바토스 이태원점,장소 없음,없음,없음,없음,서울특별시 용산구 이태원로15길 1,(주)어번그룹 바토스 이태원점
(주)에스와이에스홀딩스 이남장설렁탕 전자랜드점,장소 없음,없음,없음,없음,서울특별시 용산구 청파로 74,(주)에스와이에스홀딩스 이남장설렁탕 전자랜드점
(주)전설그룹,장소 없음,없음,없음,없음,서울특별시 마포구 월드컵북로 396,(주)전설그룹
(주)제이제이퀴진 현대옥 상암DMC점,장소 없음,없음,없음,없음,서울특별시 마포구 상암산로 76,(주)제이제이퀴진 현대옥 상암DMC점
금천문,,https://img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F7B793C40BAAD4402B6C207D39676365A; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F181A5D4EA8F04015AFC6094551C01052; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F334631514CF54C99999FB5A7D3F78989; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F5776E422F72441148A02D1C52C3FA362; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FB835C3CEAC3044D19C67D1D46C65432B,https://place.map.kakao.com/15765489,금천문오향족발,서울특별시 용산구 한강대로 268,금천문
기웅이서울찜닭&골뱅이,4,https://img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEwMTNfMTM0%2FMDAxNzI4Nzc5MDA2ODQ4.Tz81vueWhir5PoEpPpJsk3Blkook-20OHynfXd9wzZog.-ZO5_kZapQRIe222YlsECmN96W5cja0UFsbkA3jTG-Qg.JPEG%2FIMG_2503.jpg%3Ftype%3Dw966; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEwMTNfMTM1%2FMDAxNzI4Nzc5MDA4MTEy.wv_BSXvS56PyGhCPjQaJcTL9Q-3XSw3x_n9u1_UyCCwg.2QtyvPsSLOrk2euQiMFE4NVSzCsroHSOhfKnhhropFkg.JPEG%2FIMG_2510.jpg%3Ftype%3Dw966; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMjZfMjkw%2FMDAxNzM1MTg1ODc0NzI5.LxX0aZXghmbEOC8VFNLXXyldQ2uFPP7uv7M3xjeZWFsg.Gn1AsVwd5xEXKncL28AXv2yAMot-4oJM8c5Hie4tHXkg.JPEG%2F900%25EF%25BC%25BF1735185536926.jpg%3Ftype%3Dw466; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMjZfMTUy%2FMDAxNzM1MTg1ODc0MjYw.Eeh0fOO1I5BAGqEaLVXM6xa8ZeZmIu8m6VwpW878Okwg.7sqUDcfTHuXqv69SXbA1WNy8PPCQuZJHFj6R84WgWUYg.JPEG%2F900%25EF%25BC%25BF1735185537546.jpg%3Ftype%3Dw466; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMjZfMTU1%2FMDAxNzM1MTg1ODY4OTYz.fDLpzRMgzDI7YfEOCDqvyGBIhfUIxUSW8cINVmrjOyUg.eJJ3lvDhIGJjjUEzmCM4nWP7AsB9Yei4GtLg6sRwtDkg.JPEG%2F900%25EF%25BC%25BF1735185538242.jpg%3Ftype%3Dw466,https://place.map.kakao.com/22134394,기웅이서울찜닭 골뱅이,서울특별시 마포구 월드컵북로48길 13,기웅이서울찜닭&골뱅이
길농원훈제바베큐,장소 없음,없음,없음,없음,서울특별시 용산구 원효로 71,길농원훈제바베큐
꼬 닭,5,https://img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA1MDlfMjc5%2FMDAxNzE1MjYxNTcwMzE1.wBlruQ4bkXVxYJ2eB6S-eT917Ncxwj67KTJftV6zQsQg.12-cPD6DvfHZ9OkyOVUtxZ22SOAwNSkyc93ko3PLEhgg.JPEG%2FSE-3921304e-26fb-4e27-8d8f-b432227f44e1.jpg%3Ftype%3Dw773; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA0MjhfMjIx%2FMDAxNzE0Mjk0NzA5OTMy.CVMMhjVW3FFVW20olVGZawiTpJgtvFLSvfBJvEcLnJcg.SjxDt7ueMC0k1rf9kmPVyCPIRqt0iSubuwLX7_0RAOgg.JPEG%2FKakaoTalk_20240428_173911304_10.jpg%3Ftype%3Dw773; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA0MjhfOTkg%2FMDAxNzE0Mjk1MDI1NDA5.2pydM9JSQwMZ9jeBAnJ3nFfDD_569YB0O9F1dfCsDb4g.HTGHLcnQZoaqTwpaZ464GmwyY_D8RV8j2XuPDxFcgd0g.JPEG%2FKakaoTalk_20240428_173911304_09.jpg%3Ftype%3Dw773; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA0MjhfMTIy%2FMDAxNzE0MjkzOTIxMDkz.YLik-uSdrK2FH4exFTlZ2baOGnMuf7gUARQiC9D6aZ8g.5u5a5u3vaoq8DqVpOgT5BeWCBMndherhcIMQPD45_eUg.JPEG%2FSE-6224ca6e-a0cb-4ed1-b9ee-102dc1786408.jpg%3Ftype%3Dw773; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA0MjhfMjMw%2FMDAxNzE0MjkzOTc3NzM1.pnjCuELuENNUxK3fFmoLLBXQivD15Lv27tgLqgxjvbAg.-FEJ2pKSY5KspTA7LeIT49D0aeMdBHQ_VksTa2LjPDEg.JPEG%2FSE-0a5044bd-b804-443d-a6f4-8fa3c6bc8fb2.jpg%3Ftype%3Dw773,https://place.map.kakao.com/1866456809,꼬닭,,꼬 닭
남산한정식,3.1,https://img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fcda0ae21f2955d7f61a2f3517bb12ee6f70b6e4f%3Foriginal; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjExMTVfMTQ5%2FMDAxNjY4NDg5NTE2Nzgx.AtqJF2imHzdQctYgGnE8t5MwD053s8DmV1sr5sZrbLYg.oAzhS38GuYJgO-OXjukMHYjL9iqBARTKoJ-jcapL4wsg.JPEG.zeroy94%2F20221001%25EF%25BC%25BF153058.jpg%3Ftype%3Dw966; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjExMDdfMjMg%2FMDAxNjY3Nzk1MDE0MDQ0.ZZxceF24zv1j500UXa7M77mtLpxeQh47pWig_MCFd9kg.HB-_wdpTh2SiT3UFfs6w6QmrWUzF-MLVMyWRLH8Z4DUg.JPEG.happyjjun0000%2FSE-610042af-5dc9-11ed-901d-07f65cbcc4db.jpg%3Ftype%3Dw966; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjExMDdfMjE5%2FMDAxNjY3Nzk1NTU0NDcw.lb24aqcEn4vTEID9ZUZvuLAQFeqnmOZ7PkGaupqk3Hcg.Sf3gjwsiEGxFE2T-5WA01TDwIfOL1ODNXySDm9LVW5Mg.JPEG.happyjjun0000%2FSE-610090db-5dc9-11ed-901d-3bc8176d3d5b.jpg%3Ftype%3Dw966; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjExMDZfMjM0%2FMDAxNjY3NzI0NTM0MzM3.xJxD-PrdLppji2y6ByBd15ZvOBBVqVCrdWKz9u1rqHwg.inAr7_3ejh_hUt7dP84ozYsOZgDTbrdBrPgcjox79asg.JPEG.onedoy%2FSE-6b3af508-71af-4bea-83d8-f409cae8bac4.jpg%3Ftype%3Dw773,https://place.map.kakao.com/1148481405,한국의집,,남산한정식
