img_search_addr,score,img_url
"서울특별시 광진구 군자로 21,재희네식당",4.7,https://place.map.kakao.com/12183322
"서울특별시 성동구 성덕정17길 4-1,우돈만족",1.0,https://place.map.kakao.com/1173794791
"서울특별시 성동구 금호산길 49,박여사네 짱뚱어랑 보리굴비",장소 없음,없음
"서울특별시 성동구 마장로35나길 9,남문한우숯불곱창",2.0,https://place.map.kakao.com/1022694366
"서울특별시 성동구 상원1길 35-23,래빗홀 버거",4.7,https://place.map.kakao.com/2050305194
"서울특별시 성동구 성수이로10길 14,수향",,https://place.map.kakao.com/27262068
"서울특별시 성동구 고산자로 354,손건호의 한우일번지",3.2,https://place.map.kakao.com/1975464544
"서울특별시 성동구 광나루로 290,신신원",2.7,https://place.map.kakao.com/383859498
"서울특별시 성동구 서울숲6길 22,브이엔디 성수본점",3.5,https://place.map.kakao.com/1575883878
"서울특별시 성동구 마조로 61,술이있는 맛있는밥집",4.4,https://place.map.kakao.com/1836275569
"서울특별시 성동구 마조로3길 8,끄트머리집",4.3,https://place.map.kakao.com/762032344
"서울특별시 성동구 성덕정길 99,또치(참숯생고기)",5.0,https://place.map.kakao.com/1734794291
"서울특별시 성동구 아차산로 85,하남돼지집 성수역점",4.2,https://place.map.kakao.com/24998173
"서울특별시 성동구 성수이로 90,사람사는고깃집김일도 성수점",3.6,https://place.map.kakao.com/390812322
"서울특별시 성동구 한림말1길 8,콩물에빠진두부",3.7,https://place.map.kakao.com/13228501
"서울특별시 성동구 독서당로40길 29,일품생고기",3.2,https://place.map.kakao.com/16057680
"서울특별시 성동구 동일로 143,해담",5.0,https://place.map.kakao.com/1838525655
"서울특별시 성동구 아차산로 96,닭한마리",3.6,https://place.map.kakao.com/16040951
"서울특별시 성동구 마장로37길 35-1,임가네숯불구이식당",1.0,https://place.map.kakao.com/1072429756
"서울특별시 성동구 고산자로 281-1,맛나곱창",4.0,https://place.map.kakao.com/11975911
"서울특별시 노원구 중계로12길 6,중계고기파티",,https://place.map.kakao.com/282482500
"서울특별시 노원구 한글비석로 383,방추남원추어탕",4.5,https://place.map.kakao.com/1357802413
"서울특별시 노원구 노원로 452,샤브20",3.5,https://place.map.kakao.com/1695525178
"서울특별시 노원구 동일로242길 54,이화수육개장수락산점",0.0,https://place.map.kakao.com/640345380
"서울특별시 노원구 동일로 1417,육전국밥 노원역점",3.9,https://place.map.kakao.com/1364799617
"서울특별시 노원구 동일로203가길 29,망향비빔국수 중계점",2.8,https://place.map.kakao.com/1920224387
"서울특별시 노원구 동일로242길 33,포아이니쌀국수 수락산역점",0.0,https://place.map.kakao.com/1175986204
"서울특별시 노원구 동일로242길 36,진1926 수락산역점",5.0,https://place.map.kakao.com/147382248
"서울특별시 노원구 한글비석로 384,화로상회 상계역점I",장소 없음,없음
"서울특별시 노원구 덕릉로83길 5,이장군 족발보쌈",0.0,https://place.map.kakao.com/1250864053
"서울특별시 동대문구 무학로 102,김여사짜장앤짬뽕",장소 없음,없음
"서울특별시 동대문구 홍릉로5길 7,코테사키",4.8,https://place.map.kakao.com/2125135897
"서울특별시 동대문구 안암로 154,고래돈가스",4.1,https://place.map.kakao.com/24529027
"서울특별시 동대문구 왕산로9길 19,풍미숯불갈비",5.0,https://place.map.kakao.com/15706987
"서울특별시 동대문구 답십리로 291-3,장안정",3.5,https://place.map.kakao.com/14522801
"서울특별시 동대문구 난계로30길 16,육전식당",4.1,https://place.map.kakao.com/10331494
"서울특별시 동대문구 회기로25길 109,벗이있는집",3.7,https://place.map.kakao.com/21406928
"서울특별시 동대문구 서울시립대로 45,쌈마루",2.0,https://place.map.kakao.com/2067357113
"서울특별시 동대문구 하정로3길 10,신설보쌈앤칼국수",4.0,https://place.map.kakao.com/1637599595
"서울특별시 동대문구 한천로46길 42,아씨네 화덕족발 장안점",4.1,https://place.map.kakao.com/1833956407
"서울특별시 동대문구 답십리로 154,서오릉피자",4.3,https://place.map.kakao.com/1836737054
"서울특별시 동대문구 이문로 193,경동한우곱창 경동육회",장소 없음,없음
"서울특별시 동대문구 무학로 72,정통삼계탕",4.5,https://place.map.kakao.com/10724458
"서울특별시 동대문구 경희대로3길 29,두레박",4.7,https://place.map.kakao.com/1930099503
"서울특별시 동대문구 전농로 75,안흥갈비답십리점",4.2,https://place.map.kakao.com/27263071
"서울특별시 동대문구 왕산로 248,성공시대팔팔추어탕",4.6,https://place.map.kakao.com/438509585
"서울특별시 동대문구 천호대로 23,흥주선비국밥 신설점",5.0,https://place.map.kakao.com/763080143
"서울특별시 동대문구 약령시로 65,나정순할매쭈꾸미",2.6,https://place.map.kakao.com/15774113
"서울특별시 동대문구 무학로 200,박가뼈다귀 안암점",4.2,https://place.map.kakao.com/16647252
