img_search_addr,score,img_urls,url,name,addr,upso_nm
"서울특별시 마포구 토정로37길 9,석양집",장소 없음,없음,없음,없음,서울특별시 마포구 토정로37길 9,석양집
"서울특별시 마포구 서강로 71,엉터리생고기",2.0,https://img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F7FEA37B82D9844548ED812416E9B4AF0; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNTAyMTVfMjI1%2FMDAxNzM5NjE4NzI2MTk2.761MYsjCv7d9HGBg3s976jtIf8-jOeK93lXDJpBkjPQg.dUatNiBHsTbOQGTBkQBjm8iRwJYtvr7L2luNcNFc6Psg.JPEG%2Foutput_1864725084.jpg%3Ftype%3Dw386; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNTAyMDFfMTQy%2FMDAxNzM4NDIwNTY4MDkx.hLv4NLycqTOJedcv-DYTHNSI4N-Z_ug7EJ0oQ9gMiVQg.Gi8lEqHOK6XfloI4rmmhjDKYb2RisdYTYWBRrQ1G5osg.JPEG%2FIMG_4691.jpg%3Ftype%3Dw386; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNTAxMDFfMTE0%2FMDAxNzM1NjkwMDgzMDcy.RLvc-GXZ641R7PjSaWF5OBxlwDylYK12_axpsiW4dxUg.DnE067cNtUT_oAuJ6yBL6xAd6KFHnr7DXknIKfDEG88g.PNG%2FPhoto_1.png%3Ftype%3Dw773; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjA5MTZfMTc2%2FMDAxNjYzMjY0MDUzNDUx.d4E7aREOyeXcuQ7gTSNCLExBFxS1YIEvhLfwSjcOHYkg._r5aicMo_qEBimTfat0vJkiQE7f31Pg7O8WKwcohQCgg.JPEG.fishman28%2FKakaoTalk_20220916_015028137_04.jpg%3Ftype%3Dw773,https://place.map.kakao.com/1539589600,엉터리생고기광흥창점,서울특별시 마포구 서강로 71,엉터리생고기
"서울특별시 마포구 상암산로 76,(주)제이제이퀴진 현대옥 상암DMC점",장소 없음,없음,없음,없음,서울특별시 마포구 상암산로 76,(주)제이제이퀴진 현대옥 상암DMC점
"서울특별시 마포구 동교로 213,로얄호프 치킨",0.0,https://img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F47CB6ABE3FEF4D909ED9D724C294CD92; https://img1.kakaocdn.net/cthumb/local/C544x196.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F36D6CEE4AE154B659B5B3ED01A67FDCD; https://img1.kakaocdn.net/cthumb/local/C544x196.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F79DAF5D0102F474B9CBFB67C6C518BE1,https://place.map.kakao.com/374533327,로얄호프치킨홍대본점,서울특별시 마포구 동교로 213,로얄호프 치킨
"서울특별시 마포구 백범로 122,천장어",3.8,https://img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fcf8cc38bee89a16ad1491eb034abab9994517027%3Foriginal; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNTAzMDRfOSAg%2FMDAxNzQxMDgxNTQ0OTA2.Xkazo4zthVKo5QaZU59bfXSt-JEJdiEnb00pEbTJ3C0g.vRfhUdMicPo3qadX-P-cZI_kJ84i0gw3CsHKIrJ-59Mg.JPEG%2F1741081364034.jpg%3Ftype%3Dw966; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNTAzMDNfNTkg%2FMDAxNzQwOTgxNTg2MTc4.cFUhxlNfS-RIwSJ19HvyKY4XrmxoTGDcpMtqDUjiRu0g.nr3pKh1n1P5JoNJAYE8I_XriFJyU1VZLl5MWAYCGU9sg.JPEG%2F900%25EF%25BC%25BF20250302%25EF%25BC%25BF153041.jpg%3Ftype%3Dw466; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNTAzMDNfMjQ1%2FMDAxNzQwOTgxNTg3MjYx.wkhKC-pnLMAa2AO7pJXfNjtL8btelZiAC05Oot9cd2Mg.Pr3AFaMBL13JXQByXiwTJ1Z6aBxf8uva3imKPKOic7gg.JPEG%2F900%25EF%25BC%25BF20250302%25EF%25BC%25BF153044.jpg%3Ftype%3Dw466; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNTAzMTRfMTM2%2FMDAxNzQxOTU3MDUwNTYy.ECA9yDD3oQ4ysqi4_t1sqFvwUSJRzcnjTbffrKKzqMUg.O-OBHyY95SX49GE00pbX_GTbO3-5psW_NHxkipcYXuQg.JPEG%2FKakaoTalk_20250314_212724971_01.jpg%3Ftype%3Dw773,https://place.map.kakao.com/24838597,천장어마포대흥역점,서울특별시 마포구 백범로 122,천장어
"서울특별시 마포구 백범로1길 12,덕승루",3.5,https://img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FE4239C5BEFF64F76B759FFBFDEB79F7C; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FB0EA74A65954460587C5192312B799E6; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FC145EC758088434E90CCF16572470E1D; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FB178E9C8B13645849EE2CE47D6047E48; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F2BB732859D98451AAE16BF435E74A5B2,https://place.map.kakao.com/1011078526,덕승루,서울특별시 마포구 백범로1길 12,덕승루
"서울특별시 마포구 마포대로4나길 7,예촌",3.6,https://img1.kakaocdn.net/cthumb/local/C544x408.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F68c2efe76a3c723c5a1d535d8bb05be6049637c8%3Foriginal; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F9bfeca9e698fd5d0e8845ab84908942dd63c0e81%3Foriginal; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMjFfMjc1%2FMDAxNzMyMTcxMjg1NzYx.ahwy-YWDeTIKoOoxIFYOpc41s9NxE38sqecrUNOCgb8g.lMRQ4CWHITGxLrLwpcYni_X0i673e3Dt9NeaCjvkLGEg.JPEG%2FKakaoTalk_20241121_152241804_11.jpg%3Ftype%3Dw773; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMjFfOTMg%2FMDAxNzMyMTcwNzU3OTI5.ZyH8ulSxJPjvTx3F9oHGf_jSGLMnLsJFfuEaC0oqPf4g.xY1ImKa9-5eEkFYpCB6DP1VSoJHtK1o-awKC1F2HyPEg.JPEG%2FKakaoTalk_20241121_152241804_12.jpg%3Ftype%3Dw773; https://img1.kakaocdn.net/cthumb/local/C264x196.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDAyMDJfMTA5%2FMDAxNzA2ODY2NzgxNzg3.S5ZYt60a64bayvrBLzRtwnwKjzV50gI0s2pVB2hsWbMg.QDdXHrA3wSnAXQxnm3j5OmAzbDfMNw11Z35_U4igQSUg.JPEG.aiaiai27%2F20240129%25EF%25BC%25BF191828.jpg%3Ftype%3Dw773,https://place.map.kakao.com/13289572,예촌,서울특별시 마포구 마포대로4나길 7,예촌
"서울특별시 마포구 백범로 23,(주)거구상사(거구장)",장소 없음,없음,없음,없음,서울특별시 마포구 백범로 23,(주)거구상사(거구장)
"서울특별시 마포구 월드컵북로48길 13,기웅이서울찜닭&골뱅이",장소 없음,없음,없음,없음,서울특별시 마포구 월드컵북로48길 13,기웅이서울찜닭&골뱅이
"서울특별시 마포구 월드컵북로 400,시골보쌈앤감자옹심이",장소 없음,없음,없음,없음,서울특별시 마포구 월드컵북로 400,시골보쌈앤감자옹심이
