"CGG_CODE","ASGN_YY","ASGN_SNO","APPL_YMD","ASGN_YMD","UPSO_NM","SITE_ADDR_RD","SITE_ADDR","PERM_NT_NO","SNT_UPTAE_NM","MAIN_EDF","TRDP_AREA","ADMDNG_NM","GRADE_FACIL_GBN","UPSO_SITE_TELNO"
"3130000","2006","0163","20060630","20060901","석양집","서울특별시 마포구 토정로37길 9, E동 8, 9호 (용강동, 우성연립)","서울특별시 마포구 용강동  39번지 1호  우성연립","3130000-101-1984-00745","한식","돼지갈비","165.65","용강동","상수도전용","02 7166847"
"3130000","2014","0121","20091116","20141204","엉터리생고기","서울특별시 마포구 서강로 71, 1층 (창전동)","서울특별시 마포구 창전동  15번지 4호  ","3130000-101-2009-00208","한식","소한마리","105.33","서강동","","02  337 5556"
"3130000","2020","4   ","20201001","20201201","(주)제이제이퀴진 현대옥 상암DMC점","서울특별시 마포구 상암산로 76, (상암동, YTN뉴스퀘어지1층일부)","서울특별시 마포구 상암동  1607번지  ","3130000-101-2016-00882","한식","콩나물국밥","212.56","상암동","",""
"3130000","2019","0004","20191010","20191203","로얄호프 치킨","서울특별시 마포구 동교로 213, 1층 (동교동)","서울특별시 마포구 동교동  198번지 27호  1층","3130000-101-2017-00702","일식","회","89.67","서교동","",""
"3130000","2014","0015","20141031","20141204","천장어","서울특별시 마포구 백범로 122, 1층 (염리동)","서울특별시 마포구 염리동  155번지 12호  ","3130000-101-2014-00416","한식","장어구이","182.68","염리동","",""
"3130000","2014","0181","20141208","20141208","덕승루","서울특별시 마포구 백범로1길 12, 1층 (노고산동)","서울특별시 마포구 노고산동  31번지 33호  ","3130000-101-2022-00623","중국식","","64.07","대흥동","",""
"3130000","2022","0003","20221123","20221123","예촌","서울특별시 마포구 마포대로4나길 7, 1층동 (도화동)","서울특별시 마포구 도화동  290번지 10호 1층 ","3130000-101-1990-03418","한식","생태탕","89.70","도화동","상수도전용","02 3230572"
"3130000","2012","0002","20121025","20121120","(주)거구상사(거구장)","서울특별시 마포구 백범로 23, (신수동,외 8필지)","서울특별시 마포구 신수동  63번지 14호  외 8필지","3130000-101-1993-01008","한식","갈비.불고기","3310.87","대흥동","상수도전용","02 7153611"
"3130000","2009","0039","20090612","20090630","기웅이서울찜닭&골뱅이","서울특별시 마포구 월드컵북로48길 13, 1층 (상암동)","서울특별시 마포구 상암동  36번지 9호  ","3130000-101-2007-00115","일식","찜닭","52.46","상암동","",""
"3130000","2015","0006","20151012","20151202","시골보쌈앤감자옹심이","서울특별시 마포구 월드컵북로 400, 지층 01호 (상암동, 서울산업진흥원)","서울특별시 마포구 상암동  1602번지  서울산업진흥원, 지층-01","3130000-101-2014-00935","한식","구이","294.84","상암동","",""
"3130000","2016","0012","20161021","20161205","백미향","서울특별시 마포구 성지길 27, (합정동,1층)","서울특별시 마포구 합정동  371번지 5호  1층","3130000-101-2011-00301","중국식","","149.48","합정동","","02   3128253"
"3130000","2022","0014","20221123","20221123","합정전","서울특별시 마포구 월드컵로3길 31-32, (합정동, 지1층)","서울특별시 마포구 합정동  388번지 20호  지1층","3130000-101-2016-00313","한식","모듬전","80.50","합정동","","02 3252539"
"3130000","2022","0016","20221123","20221123","조박사복해장국","서울특별시 마포구 동교로 114, 1층 102호 (서교동)","서울특별시 마포구 서교동  481번지 2호  태복빌딩-102","3130000-101-2017-01034","한식","복해장국","94.38","서교동","",""
"3130000","2022","0006","20221123","20221123","대장금부페","서울특별시 마포구 백범로1길 74, 1층 (노고산동)","서울특별시 마포구 노고산동  19번지 198호  1층","3130000-101-2001-09473","한식","한식뷔페","45.62","서교동","",""
"3130000","2022","0017","20221123","20221123","김미정남원추어탕삼계탕","서울특별시 마포구 독막로 288, (대흥동)","서울특별시 마포구 대흥동  802번지  대흥동 세양아파트(105,106,117,118,119,122호)","3130000-101-2012-00384","한식","추어탕","219.32","대흥동","","027119200"
