"CGG_CODE","ASGN_YY","ASGN_SNO","APPL_YMD","ASGN_YMD","UPSO_NM","SITE_ADDR_RD","SITE_ADDR","PERM_NT_NO","SNT_UPTAE_NM","MAIN_EDF","TRDP_AREA","ADMDNG_NM","GRADE_FACIL_GBN","UPSO_SITE_TELNO"
"3020000","2024","0007","20240925","20241031","이여곰탕용산점","서울특별시 용산구 한강대로 136, 1층 (한강로2가)","서울특별시 용산구 한강로2가  109번지 3호  1층","3020000-101-2018-00492","한식","곰탕","54.58","한강로동","상수도전용",""
"3020000","2024","0001","20240925","20241031","솔직한우 용산점","서울특별시 용산구 한강대로17길 15, 1,2,3층 (한강로3가)","서울특별시 용산구 한강로3가  40번지 131호  동광장여관","3020000-101-2023-00502","한식","한우구이","223.60","한강로동","상수도전용",""
"3020000","2024","0005","20240925","20241031","한남 뜰(HAN NAM 뜰)","서울특별시 용산구 독서당로20길 7, 1층 (한남동)","서울특별시 용산구 한남동  272번지 12호  ","3020000-101-2023-00392","한식","한우구이","73.22","한남동","상수도전용",""
"3020000","2024","0006","20240925","20241031","진미식당","서울특별시 용산구 백범로90길 46, (문배동,(지상1층))","서울특별시 용산구 문배동  33번지 3호  (지상1층)","3020000-101-2005-00012","한식","문경콩청국장, 냉콩국수","26.40","원효로제1동","","02 7036842"
"3020000","2024","0004","20240925","20241031","만족돈까스","서울특별시 용산구 청파로 255, 1층 (청파동3가)","서울특별시 용산구 청파동3가  84번지 4호  ","3020000-101-2024-00119","경양식","돈까스","73.91","청파동","상수도전용",""
"3020000","2024","0003","20240925","20241031","돌판장 주식회사","서울특별시 용산구 한강대로53길 24, 1-2층 (한강로2가)","서울특별시 용산구 한강로2가  2번지 352호  ","3020000-101-2023-00231","한식","장어구이","122.31","한강로동","상수도전용",""
"3020000","2024","0002","20240925","20241031","주식회사 물고기주택","서울특별시 용산구 한강대로48길 19, 지상1,2층 (한강로2가)","서울특별시 용산구 한강로2가  87번지 8호  지상1,2층","3020000-101-2018-00014","기타","모듬회","79.44","한강로동","상수도전용",""
"3020000","2023","0001","20230831","20231011","풍성집","서울특별시 용산구 한강대로62길 38, (한강로1가,(지상1층))","서울특별시 용산구 한강로1가  231번지 21호  (지상1층)","3020000-101-1986-07037","한식","차돌박이","33.10","한강로동","상수도전용","02 7952654"
"3020000","2023","0002","20220831","20231011","섬집","서울특별시 용산구 한강대로14길 18, (한강로3가,(지상1층))","서울특별시 용산구 한강로3가  65번지 162호  (지상1층)","3020000-101-2011-00087","한식","간장게장, 참게꽃게매운탕","65.52","한강로동","",""
"3020000","2023","0003","20230831","20231011","큰집닭한마리","서울특별시 용산구 원효로 259-1, 1층 (원효로1가)","서울특별시 용산구 원효로1가  39번지 10호  ","3020000-101-2012-00126","기타","닭한마리","142.51","원효로제1동","","02 7115556"
"3020000","2023","0005","20230831","20231011","남도미항 용산아이파크몰점","서울특별시 용산구 한강대로23길 55, 용산역 4층 900-6호 (한강로3가)","서울특별시 용산구 한강로3가  40번지 999호  용산역-900-6","3020000-101-2018-00360","한식","비빔밥, 찌게","180.53","한강로동","상수도전용",""
"3020000","2023","0007","20230831","20231011","이춘복참치","서울특별시 용산구 한강대로 266-2, (남영동)","서울특별시 용산구 남영동  85번지 1호  (지상1층)","3020000-101-2008-00164","일식","참치","126.00","남영동","","02  794 4558"
"3020000","2023","0004","20230831","20231011","산마루돌구이","서울특별시 용산구 한강대로62다길 12, 지상1층 (한강로1가)","서울특별시 용산구 한강로1가  211번지 1호  지상1층","3020000-101-2015-00086","까페","산낙지돌구이","101.73","한강로동","상수도전용","02  26358393"
"3020000","2023","0006","20230831","20231011","금천문","서울특별시 용산구 한강대로 268, (남영동,(지상1층))","서울특별시 용산구 남영동  84번지 8호  (지상1층)","3020000-101-2000-07490","한식","오향족발","73.03","남영동","상수도전용",""
"3020000","2022","0006","20220819","20220921","피기 남영본점","서울특별시 용산구 한강대로84길 12, 미성회관 1,2층 (남영동)","서울특별시 용산구 남영동  60번지 3호  미성회관","3020000-101-1988-06641","한식","소,돼지구이","350.39","남영동","상수도전용","02 7937766"
"3020000","2022","0005","20220819","20220921","치히로 서울용산점","서울특별시 용산구 한강대로62길 42-1, (한강로1가)","서울특별시 용산구 한강로1가  231번지 4호  ","3020000-101-2021-00306","복어취급","일식덮밥","49.59","한강로동","상수도전용","0269561953"
"3020000","2022","0001","20220819","20220921","마구로참치1980","서울특별시 용산구 한강대로 259, 고려에이트리움 1층 110호~113호 (갈월동)","서울특별시 용산구 갈월동  101번지 49호  고려에이트리움","3020000-101-2019-00195","일식","참치","197.13","남영동","상수도전용","02 7901161"
"3020000","2022","0004","20220819","20220921","불꾼","서울특별시 용산구 한강대로 126-3, 1층 (한강로2가)","서울특별시 용산구 한강로2가  132번지  ","3020000-101-2022-00226","한식","페퍼로니피자","66.64","한강로동","상수도전용","050714590534"
"3020000","2022","0007","20220819","20220921","백식당","서울특별시 용산구 원효로58길 31, (신계동,(지상1층))","서울특별시 용산구 신계동  25번지 10호  (지상1층)","3020000-101-1996-05627","한식","육회,향정살,삼겹살","42.50","원효로제1동","상수도전용","02 7015656"
"3020000","2022","0008","20220819","20220921","서울추어탕","서울특별시 용산구 한강대로104가길 11-2, 1층 (동자동)","서울특별시 용산구 동자동  22번지 31호  1층","3020000-101-2018-00031","한식","추어탕","69.72","남영동","상수도전용","02 7777772"
"3020000","2022","0003","20220819","20220921","장위동유성집","서울특별시 용산구 한강대로 385, 지상1층 (동자동)","서울특별시 용산구 동자동  43번지 59호  지상1층","3020000-101-2014-00444","한식","등심(소고기)","132.00","남영동","상수도전용","02 7969292"
"3020000","2022","0011","20220819","20220921","新(신)청파찹쌀순대","서울특별시 용산구 청파로 299-1, (청파동2가,(지상1층))","서울특별시 용산구 청파동2가  105번지 2호  (지상1층)","3020000-101-2010-00211","한식","순대국","76.48","청파동","","02 7018883"
"3020000","2021","0005","20210929","20211022","한강동","서울특별시 용산구 한강대로 56-1, 1층 (한강로3가)","서울특별시 용산구 한강로3가  49번지 2호  ","3020000-101-2020-00038","일식","카이센동,숙성회","46.86","한강로동","상수도전용","0221357876"
"3020000","2021","0006","20210929","20211022","덕순루","서울특별시 용산구 한강대로80길 11, (남영동)","서울특별시 용산구 남영동  80번지 2호  ","3020000-101-1967-01588","중국식","깐풍기","81.00","남영동","상수도전용","02 7936656"
"3020000","2021","0002","20210929","20211022","독도참치","서울특별시 용산구 대사관로 78, (한남동,(지상1층))","서울특별시 용산구 한남동  80번지 1호  (지상1층)","3020000-101-2008-00177","한식","참치회","80.00","한남동","","02 7907895"
"3020000","2021","0003","20210929","20211022","일일향","서울특별시 용산구 한강대로40길 26, 복십자의원 2층 (한강로2가)","서울특별시 용산구 한강로2가  147번지  복십자의원 2층","3020000-101-2018-00095","중국식","어향동고","312.96","한강로동","상수도전용","02  790 4300"
"3020000","2021","0004","20210929","20211022","금은돈","서울특별시 용산구 한강대로14가길 14, 1층 (한강로3가)","서울특별시 용산구 한강로3가  65번지 180호  ","3020000-101-2021-00120","한식","금돈삼겹살","57.03","한강로동","","0221358344"
"3020000","2020","0003","20200831","20201013","참이맛원효점","서울특별시 용산구 원효로89길 4, 1,2층 (원효로1가)","서울특별시 용산구 원효로1가  39번지 16호  1,2층","3020000-101-1967-01543","한식","묵은지감자탕","64.50","원효로제1동","상수도전용","02 7114587"
"3020000","2020","0008","20200831","20201013","임도령","서울특별시 용산구 한강대로 95, 지하2층 B202호 (한강로2가, 래미안용산)","서울특별시 용산구 한강로2가  342번지  래미안용산 지하2층 B202호","3020000-101-2010-00299","한식","부대찌개","80.08","한강로동","","02 7924142"
"3020000","2020","0012","20200831","20201013","루트(루트에브리데이)","서울특별시 용산구 이태원로55가길 26-4, 지상2층 (한남동)","서울특별시 용산구 한남동  741번지 19호  지상2층","3020000-101-2018-00280","경양식","아보카도롤","49.06","한남동","상수도전용","02 7979505"
"3020000","2020","0011","20200831","20201013","바다식당","서울특별시 용산구 이태원로 245, 2층 (한남동)","서울특별시 용산구 한남동  738번지 24호  ","3020000-101-1984-06178","한식","존슨탕","257.72","한남동","상수도전용","050713761317"
"3020000","2020","0010","20200831","20201013","나리의집","서울특별시 용산구 이태원로 245, (한남동, 738-24 지상1층)","서울특별시 용산구 한남동  738번지 24호  지상1층","3020000-101-1999-07147","한식","삼겹살","137.72","한남동","상수도전용","02 7934860"
"3020000","2020","0007","20200831","20201013","보스라멘","서울특별시 용산구 청파로 74, (한강로3가, 16-9외6필지 용산전자랜드 지상6층)","서울특별시 용산구 한강로3가  16번지 9호  외6필지 용산전자랜드(지상6층)","3020000-101-2012-00042","일식","탄탄멘돈가스정식","92.56","한강로동","","050713722090"
"3020000","2020","0013","20200831","20201013","돈치앤","서울특별시 용산구 효창원로66길 7-8, (효창동,(지상1층))","서울특별시 용산구 효창동  5번지 506호  (지상1층)","3020000-101-1994-05909","일식","돈까스","59.94","효창동","상수도전용","0231410306"
"3020000","2020","0006","20200831","20201013","산골집500소갈비살","서울특별시 용산구 서빙고로 4-16, (한강로3가,(지상1.2층))","서울특별시 용산구 한강로3가  49번지 5호  (지상1.2층)","3020000-101-1988-04524","한식","생소갈비살","78.66","한강로동","상수도전용","02 7940577"
"3020000","2020","0005","20200831","20201013","회나무식당","서울특별시 용산구 녹사평대로 238-1, 1층 (이태원동)","서울특별시 용산구 이태원동  650번지  ","3020000-101-2020-00126","한식","초당순두부","82.35","이태원제2동","상수도전용","02 7900831"
"3020000","2020","0002","20200831","20201013","오복함흥냉면","서울특별시 용산구 한강대로84길 4, 1층 (남영동)","서울특별시 용산구 남영동  61번지 3호  1층","3020000-101-2008-00202","냉면집","회냉면","114.48","남영동","","02 7036357"
"3020000","2020","0009","20200831","20201013","정성달아 한남동본점","서울특별시 용산구 대사관로 65, (한남동, 657-159 지상1층)","서울특별시 용산구 한남동  657번지 159호  지상1층","3020000-101-2013-00317","한식","수제왕돈까스","105.60","한남동","","0262044252"
"3020000","2020","0004","20200831","20201013","금홍","서울특별시 용산구 서빙고로 17, 1층 32호 (한강로3가)","서울특별시 용산구 한강로3가  63번지 70호  ","3020000-101-1997-05151","중국식","유린기","71.47","한강로동","상수도전용","02 7960995"
"3020000","2019","0006","20190823","20191011","별진화로구이","서울특별시 용산구 한강대로77길 11, (갈월동)","서울특별시 용산구 갈월동  98번지 1호  ","3020000-101-2008-00118","한식","돼지고기모듬","231.92","남영동","","02 7170398"
"3020000","2019","0002","20190720","20191011","오시반상","서울특별시 용산구 한강대로 92, (한강로2가,국제빌딩 아케이드 지하1층)","서울특별시 용산구 한강로2가  191번지  국제빌딩 아케이드 지하1층","3020000-101-2003-00196","한식","원조현미비빔밥","59.40","한강로동","","07088614444"
"3020000","2019","0012","20190828","20191011","이북집찹쌀순대","서울특별시 용산구 한강대로40길 19, 2층 (한강로2가)","서울특별시 용산구 한강로2가  121번지 6호  ","3020000-101-2006-00002","한식","순대국밥","172.32","한강로동","","02  793 0964"
"3020000","2019","0014","20190829","20191011","용산양다리","서울특별시 용산구 원효로41길 15, 1층 (원효로3가)","서울특별시 용산구 원효로3가  37번지 2호  ","3020000-101-2019-00052","한식","양꼬치","166.25","원효로제2동","상수도전용","02 7126238"
"3020000","2019","0013","20190829","20191011","섬집","서울특별시 용산구 한강대로14길 8, 2,3,4층 (한강로3가)","서울특별시 용산구 한강로3가  65번지 156호  ","3020000-101-2017-00407","한식","보리굴비","452.58","한강로동","상수도전용","02 7940084"
